subject,relation,object,note
# 人工整理的公开常识性关系，仅供演示，使用前请核对；以 # 开头的行为注释
# ── 供应链：半导体 ──
TSM,SUPPLIES_TO,AAPL,芯片代工（A/M 系列处理器）
TSM,SUPPLIES_TO,NVDA,GPU 芯片代工
TSM,SUPPLIES_TO,AMD,CPU/GPU 芯片代工
TSM,SUPPLIES_TO,QCOM,骁龙芯片代工
TSM,SUPPLIES_TO,AVGO,芯片代工
ASML,SUPPLIES_TO,TSM,EUV 光刻机
ASML,SUPPLIES_TO,INTC,光刻机
AVGO,SUPPLIES_TO,AAPL,射频与无线连接芯片
QCOM,SUPPLIES_TO,AAPL,5G 基带芯片
# ── 供应链：AI 算力与云 ──
NVDA,SUPPLIES_TO,MSFT,数据中心 GPU（Azure）
NVDA,SUPPLIES_TO,AMZN,数据中心 GPU（AWS）
NVDA,SUPPLIES_TO,GOOGL,数据中心 GPU（Google Cloud）
NVDA,SUPPLIES_TO,META,AI 训练 GPU
NVDA,SUPPLIES_TO,ORCL,数据中心 GPU（OCI）
NVDA,SUPPLIES_TO,TSLA,AI 训练 GPU
AMD,SUPPLIES_TO,MSFT,数据中心 CPU/GPU 与游戏主机芯片
AMZN,SUPPLIES_TO,NFLX,AWS 云服务
# ── 竞争 ──
AAPL,COMPETES_WITH,GOOGL,移动操作系统与设备
AAPL,COMPETES_WITH,MSFT,个人电脑与操作系统
MSFT,COMPETES_WITH,GOOGL,云计算、办公软件与 AI
MSFT,COMPETES_WITH,AMZN,云计算
AMZN,COMPETES_WITH,GOOGL,云计算
ORCL,COMPETES_WITH,MSFT,云计算与数据库
ORCL,COMPETES_WITH,AMZN,云计算
CRM,COMPETES_WITH,MSFT,CRM 与协作软件
META,COMPETES_WITH,GOOGL,数字广告
NVDA,COMPETES_WITH,AMD,GPU
NVDA,COMPETES_WITH,INTC,AI 加速芯片
AMD,COMPETES_WITH,INTC,CPU
NFLX,COMPETES_WITH,DIS,流媒体
NFLX,COMPETES_WITH,AMZN,流媒体
TSLA,COMPETES_WITH,GM,电动车
TSLA,COMPETES_WITH,F,电动车
# ── 合作 ──
AAPL,PARTNERS_WITH,GOOGL,Safari 默认搜索引擎协议
ORCL,PARTNERS_WITH,MSFT,Oracle Database@Azure
